Displaying
bc:left_bdc | objectfunc:right_down_central | Vforce:1.00000 | delta_x:0.00500 | volfrac:0.50000
Emin:66.66667 | E0:13333.33333 | gamma:0.000000 | tau:0.00500 | lambda:1.00000 | w:1.00000 | gamma1:3.00000 | gamma2:1.50000
 It.:    2 ||Obj.:  0.042734 ||Vol.:  0.500 ||ch.:100.000 ||r.:10000000000.000 
 It.:    3 ||Obj.:  0.045053 ||Vol.:  0.500 ||ch.:200.000 ||r.:10000000000.000 
 It.:    4 ||Obj.:  0.045053 ||Vol.:  0.500 ||ch.:200.000 ||r.:5000005709.565 
 It.:    5 ||Obj.:  0.045053 ||Vol.:  0.500 ||ch.:200.000 ||r.:2500008564.348 
 It.:    6 ||Obj.:  0.045046 ||Vol.:  0.500 ||ch.:200.000 ||r.:1250009991.739 
 It.:    7 ||Obj.:  0.045045 ||Vol.:  0.500 ||ch.:200.000 ||r.:625010705.435 
 It.:    8 ||Obj.:  0.045059 ||Vol.:  0.500 ||ch.:200.000 ||r.:312511062.283 
 It.:    9 ||Obj.:  0.045066 ||Vol.:  0.500 ||ch.:200.000 ||r.:156261240.707 
 It.:   10 ||Obj.:  0.045052 ||Vol.:  0.500 ||ch.:200.000 ||r.:78136329.919 
 It.:   11 ||Obj.:  0.045012 ||Vol.:  0.500 ||ch.:200.000 ||r.:39073874.525 
 It.:   12 ||Obj.:  0.044966 ||Vol.:  0.500 ||ch.:200.000 ||r.:19542646.828 
 It.:   13 ||Obj.:  0.044909 ||Vol.:  0.500 ||ch.:200.000 ||r.:9777032.979 
 It.:   14 ||Obj.:  0.044757 ||Vol.:  0.500 ||ch.:200.000 ||r.:4894226.055 
 It.:   15 ||Obj.:  0.044550 ||Vol.:  0.500 ||ch.:200.000 ||r.:2452822.593 
 It.:   16 ||Obj.:  0.043591 ||Vol.:  0.500 ||ch.:200.000 ||r.:1232120.862 
 It.:   17 ||Obj.:  0.038519 ||Vol.:  0.500 ||ch.:200.000 ||r.:621769.996 
 It.:   18 ||Obj.:  0.026289 ||Vol.:  0.500 ||ch.: 67.000 ||r.:621769.996 
 It.:   19 ||Obj.:  0.013714 ||Vol.:  0.500 ||ch.: 64.000 ||r.:621769.996 
 It.:   20 ||Obj.:  0.010813 ||Vol.:  0.500 ||ch.: 40.000 ||r.:621769.996 
 It.:   21 ||Obj.:  0.009954 ||Vol.:  0.500 ||ch.: 26.000 ||r.:621769.996 
 It.:   22 ||Obj.:  0.009449 ||Vol.:  0.500 ||ch.: 13.000 ||r.:621769.996 
 It.:   23 ||Obj.:  0.009237 ||Vol.:  0.500 ||ch.:  8.000 ||r.:621769.996 
 It.:   24 ||Obj.:  0.009176 ||Vol.:  0.500 ||ch.:  9.000 ||r.:621769.996 
 It.:   25 ||Obj.:  0.009145 ||Vol.:  0.500 ||ch.:  4.000 ||r.:621769.996 
 It.:   26 ||Obj.:  0.009126 ||Vol.:  0.500 ||ch.:  3.000 ||r.:621769.996 
 It.:   27 ||Obj.:  0.009101 ||Vol.:  0.500 ||ch.:  4.000 ||r.:621769.996 
 It.:   28 ||Obj.:  0.009088 ||Vol.:  0.500 ||ch.:  3.000 ||r.:621769.996 
