Displaying
bc:left_bdc | objectfunc:right_down_central | Vforce:1.00000 | delta_x:0.00500 | volfrac:0.50000
Emin:66.66667 | E0:13333.33333 | gamma:0.000000 | tau:0.00500 | lambda:1.00000 | w:1.00000 | gamma1:3.00000 | gamma2:1.50000
 It.:    2 ||Obj.:  0.047648 ||Vol.:  0.500 ||ch.:200.000 ||r.:10000000000.000 
 It.:    3 ||Obj.:  0.047648 ||Vol.:  0.500 ||ch.:200.000 ||r.:5000000000.000 
 It.:    4 ||Obj.:  0.047648 ||Vol.:  0.500 ||ch.:200.000 ||r.:2500000000.000 
 It.:    5 ||Obj.:  0.047652 ||Vol.:  0.500 ||ch.:200.000 ||r.:1250000000.000 
 It.:    6 ||Obj.:  0.047653 ||Vol.:  0.500 ||ch.:200.000 ||r.:625000000.000 
 It.:    7 ||Obj.:  0.047624 ||Vol.:  0.500 ||ch.:200.000 ||r.:312500000.000 
 It.:    8 ||Obj.:  0.047584 ||Vol.:  0.500 ||ch.:200.000 ||r.:156250000.000 
 It.:    9 ||Obj.:  0.047642 ||Vol.:  0.500 ||ch.:200.000 ||r.:78125000.000 
 It.:   10 ||Obj.:  0.047845 ||Vol.:  0.500 ||ch.:200.000 ||r.:39062500.000 
 It.:   11 ||Obj.:  0.048107 ||Vol.:  0.500 ||ch.:198.000 ||r.:19531250.000 
 It.:   12 ||Obj.:  0.048581 ||Vol.:  0.500 ||ch.:198.000 ||r.:9765625.000 
 It.:   13 ||Obj.:  0.049607 ||Vol.:  0.500 ||ch.:196.000 ||r.:4882812.500 
 It.:   14 ||Obj.:  0.051360 ||Vol.:  0.500 ||ch.:192.000 ||r.:2441406.250 
 It.:   15 ||Obj.:  0.055629 ||Vol.:  0.500 ||ch.:162.000 ||r.:1220703.125 
 It.:   16 ||Obj.:  0.060002 ||Vol.:  0.500 ||ch.:132.000 ||r.:610351.563 
 It.:   17 ||Obj.:  0.052849 ||Vol.:  0.500 ||ch.:118.000 ||r.:305175.781 
 It.:   18 ||Obj.:  0.027958 ||Vol.:  0.500 ||ch.:100.000 ||r.:152587.891 
 It.:   19 ||Obj.:  0.019482 ||Vol.:  0.500 ||ch.: 27.000 ||r.:76293.945 
 It.:   20 ||Obj.:  0.018970 ||Vol.:  0.500 ||ch.: 53.000 ||r.:76293.945 
 It.:   21 ||Obj.:  0.057726 ||Vol.:  0.500 ||ch.:120.000 ||r.:76293.945 
 It.:   22 ||Obj.:  0.048460 ||Vol.:  0.500 ||ch.:104.000 ||r.:40620.523 
 It.:   23 ||Obj.:  0.019480 ||Vol.:  0.500 ||ch.: 71.000 ||r.:22783.813 
 It.:   24 ||Obj.:  0.018645 ||Vol.:  0.500 ||ch.: 35.000 ||r.:13865.457 
 It.:   25 ||Obj.:  0.018142 ||Vol.:  0.500 ||ch.: 43.000 ||r.:13865.457 
 It.:   26 ||Obj.:  0.027271 ||Vol.:  0.500 ||ch.: 74.000 ||r.:13865.457 
 It.:   27 ||Obj.:  0.017751 ||Vol.:  0.500 ||ch.: 42.000 ||r.:9097.446 
 It.:   28 ||Obj.:  0.017026 ||Vol.:  0.500 ||ch.: 48.000 ||r.:9097.446 
 It.:   29 ||Obj.:  0.013962 ||Vol.:  0.500 ||ch.: 70.000 ||r.:9097.446 
 It.:   30 ||Obj.:  0.012837 ||Vol.:  0.500 ||ch.: 19.000 ||r.:9097.446 
 It.:   31 ||Obj.:  0.012805 ||Vol.:  0.500 ||ch.:  1.000 ||r.:9097.446 
 It.:   32 ||Obj.:  0.059422 ||Vol.:  0.500 ||ch.:194.000 ||r.:10000000000.000 
