Displaying
bc:left_bdc | objectfunc:right_down_central | Vforce:1.00000 | delta_x:0.00500 | volfrac:0.50000
Emin:66.66667 | E0:13333.33333 | gamma:0.000000 | tau:0.00500 | lambda:1.00000 | w:1.00000 | gamma1:3.00000 | gamma2:1.50000
 It.:    2 ||Obj.:  0.055550 ||Vol.:  0.500 ||ch.:174.000 ||r.:10000000000.000 
 It.:    3 ||Obj.:  0.055550 ||Vol.:  0.500 ||ch.:174.000 ||r.:5000000000.000 
 It.:    4 ||Obj.:  0.055559 ||Vol.:  0.500 ||ch.:174.000 ||r.:2500000000.000 
 It.:    5 ||Obj.:  0.055579 ||Vol.:  0.500 ||ch.:174.000 ||r.:1250000000.000 
 It.:    6 ||Obj.:  0.055592 ||Vol.:  0.500 ||ch.:174.000 ||r.:625000000.000 
 It.:    7 ||Obj.:  0.055621 ||Vol.:  0.500 ||ch.:174.000 ||r.:312500000.000 
 It.:    8 ||Obj.:  0.055610 ||Vol.:  0.500 ||ch.:174.000 ||r.:156250000.000 
 It.:    9 ||Obj.:  0.055776 ||Vol.:  0.500 ||ch.:174.000 ||r.:78125000.000 
 It.:   10 ||Obj.:  0.055982 ||Vol.:  0.500 ||ch.:172.000 ||r.:39062500.000 
 It.:   11 ||Obj.:  0.056378 ||Vol.:  0.500 ||ch.:170.000 ||r.:19531250.000 
 It.:   12 ||Obj.:  0.057043 ||Vol.:  0.500 ||ch.:166.000 ||r.:9765625.000 
 It.:   13 ||Obj.:  0.058866 ||Vol.:  0.500 ||ch.:156.000 ||r.:4882812.500 
 It.:   14 ||Obj.:  0.060891 ||Vol.:  0.500 ||ch.:144.000 ||r.:2441406.250 
 It.:   15 ||Obj.:  0.059425 ||Vol.:  0.500 ||ch.:126.000 ||r.:1220703.125 
 It.:   16 ||Obj.:  0.050809 ||Vol.:  0.500 ||ch.:116.000 ||r.:610351.563 
 It.:   17 ||Obj.:  0.018926 ||Vol.:  0.500 ||ch.: 78.000 ||r.:305175.781 
 It.:   18 ||Obj.:  0.060501 ||Vol.:  0.500 ||ch.:150.000 ||r.:305175.781 
 It.:   19 ||Obj.:  0.058916 ||Vol.:  0.500 ||ch.:134.000 ||r.:156856.624 
 It.:   20 ||Obj.:  0.049384 ||Vol.:  0.500 ||ch.:118.000 ||r.:82697.046 
 It.:   21 ||Obj.:  0.028094 ||Vol.:  0.500 ||ch.: 60.000 ||r.:45617.257 
 It.:   22 ||Obj.:  0.018433 ||Vol.:  0.500 ||ch.: 28.000 ||r.:27077.362 
 It.:   23 ||Obj.:  0.018172 ||Vol.:  0.500 ||ch.: 40.000 ||r.:27077.362 
 It.:   24 ||Obj.:  0.021865 ||Vol.:  0.500 ||ch.: 86.000 ||r.:27077.362 
 It.:   25 ||Obj.:  0.017501 ||Vol.:  0.500 ||ch.: 42.000 ||r.:17860.262 
 It.:   26 ||Obj.:  0.016083 ||Vol.:  0.500 ||ch.: 48.000 ||r.:17860.262 
 It.:   27 ||Obj.:  0.037358 ||Vol.:  0.500 ||ch.:128.000 ||r.:17860.262 
 It.:   28 ||Obj.:  0.012797 ||Vol.:  0.500 ||ch.: 80.000 ||r.:10586.897 
 It.:   29 ||Obj.:  0.012248 ||Vol.:  0.500 ||ch.: 13.000 ||r.:10586.897 
 It.:   30 ||Obj.:  0.073693 ||Vol.:  0.500 ||ch.:190.000 ||r.:10000000000.000 
