Displaying
bc:left_bdc | objectfunc:right_down_central | Vforce:1.00000 | delta_x:0.00500 | volfrac:0.50000
Emin:66.66667 | E0:13333.33333 | gamma:0.000000 | tau:0.00500 | lambda:1.00000 | w:1.00000 | gamma1:3.00000 | gamma2:1.50000
 It.:    2 ||Obj.:  0.043024 ||Vol.:  0.500 ||ch.:100.000 ||r.:10000000000.000 
 It.:    3 ||Obj.:  0.041595 ||Vol.:  0.500 ||ch.:200.000 ||r.:10000000000.000 
 It.:    4 ||Obj.:  0.029146 ||Vol.:  0.500 ||ch.: 73.000 ||r.:10000000000.000 
 It.:    5 ||Obj.:  0.027546 ||Vol.:  0.500 ||ch.:200.000 ||r.:10000000000.000 
 It.:    6 ||Obj.:  0.022449 ||Vol.:  0.500 ||ch.:200.000 ||r.:10000000000.000 
 It.:    7 ||Obj.:  0.010256 ||Vol.:  0.500 ||ch.:101.000 ||r.:10000000000.000 
 It.:    8 ||Obj.:  0.008189 ||Vol.:  0.500 ||ch.:101.000 ||r.:10000000000.000 
 It.:    9 ||Obj.:  0.007424 ||Vol.:  0.500 ||ch.: 73.000 ||r.:10000000000.000 
 It.:   10 ||Obj.:  0.007043 ||Vol.:  0.500 ||ch.: 83.000 ||r.:10000000000.000 
 It.:   11 ||Obj.:  0.006772 ||Vol.:  0.500 ||ch.: 80.000 ||r.:10000000000.000 
 It.:   12 ||Obj.:  0.006530 ||Vol.:  0.500 ||ch.: 68.000 ||r.:10000000000.000 
 It.:   13 ||Obj.:  0.006332 ||Vol.:  0.500 ||ch.: 59.000 ||r.:10000000000.000 
 It.:   14 ||Obj.:  0.006192 ||Vol.:  0.500 ||ch.: 30.000 ||r.:10000000000.000 
 It.:   15 ||Obj.:  0.006093 ||Vol.:  0.500 ||ch.: 24.000 ||r.:10000000000.000 
 It.:   16 ||Obj.:  0.006004 ||Vol.:  0.500 ||ch.: 18.000 ||r.:10000000000.000 
 It.:   17 ||Obj.:  0.005920 ||Vol.:  0.500 ||ch.: 14.000 ||r.:10000000000.000 
 It.:   18 ||Obj.:  0.005852 ||Vol.:  0.500 ||ch.:  8.000 ||r.:10000000000.000 
 It.:   19 ||Obj.:  0.005800 ||Vol.:  0.500 ||ch.:  6.000 ||r.:10000000000.000 
 It.:   20 ||Obj.:  0.005754 ||Vol.:  0.500 ||ch.:  5.000 ||r.:10000000000.000 
 It.:   21 ||Obj.:  0.005714 ||Vol.:  0.500 ||ch.:  5.000 ||r.:10000000000.000 
 It.:   22 ||Obj.:  0.005678 ||Vol.:  0.500 ||ch.:  4.000 ||r.:10000000000.000 
 It.:   23 ||Obj.:  0.005644 ||Vol.:  0.500 ||ch.:  5.000 ||r.:10000000000.000 
 It.:   24 ||Obj.:  0.005612 ||Vol.:  0.500 ||ch.:  5.000 ||r.:10000000000.000 
 It.:   25 ||Obj.:  0.005584 ||Vol.:  0.500 ||ch.:  4.000 ||r.:10000000000.000 
 It.:   26 ||Obj.:  0.005555 ||Vol.:  0.500 ||ch.:  5.000 ||r.:10000000000.000 
 It.:   27 ||Obj.:  0.005528 ||Vol.:  0.500 ||ch.:  4.000 ||r.:10000000000.000 
 It.:   28 ||Obj.:  0.005504 ||Vol.:  0.500 ||ch.:  4.000 ||r.:10000000000.000 
 It.:   29 ||Obj.:  0.005481 ||Vol.:  0.500 ||ch.:  4.000 ||r.:10000000000.000 
 It.:   30 ||Obj.:  0.005460 ||Vol.:  0.500 ||ch.:  3.000 ||r.:10000000000.000 
