Displaying
Kapa:[10.000, 1.000]|q:[1.000, 100.000]|lambda:0.100000 | r:1000.000000 |gamma:0.000001
mesh:0.003333 | boundary condition:left_Dirichlet | continuation:0
 It.:    1 ||Obj.:1592.225349 ||Vol.:  0.200 ||ch.:169.800 || r.1000.000000000 
 It.:    2 ||Obj.:3422.044767 ||Vol.:  0.200 ||ch.:222.000 || r.1000.000000000 
 It.:    2 ||Obj.:3416.647552 ||Vol.:  0.200 ||ch.:222.000 || r.500.577234786 
 It.:    2 ||Obj.:3411.301552 ||Vol.:  0.200 ||ch.:222.000 || r.250.865852179 
 It.:    2 ||Obj.:3401.214129 ||Vol.:  0.200 ||ch.:222.000 || r.126.010160875 
 It.:    2 ||Obj.:3394.640094 ||Vol.:  0.200 ||ch.:222.000 || r.63.582315223 
 It.:    2 ||Obj.:3342.498820 ||Vol.:  0.200 ||ch.:222.000 || r.32.368392397 
 It.:    2 ||Obj.:3240.017411 ||Vol.:  0.200 ||ch.:222.000 || r.16.761430984 
 It.:    2 ||Obj.:2937.571122 ||Vol.:  0.200 ||ch.:220.000 || r.8.957950278 
 It.:    2 ||Obj.:2124.361336 ||Vol.:  0.200 ||ch.:205.000 || r.5.056209925 
 It.:    2 ||Obj.:1543.677213 ||Vol.:  0.200 ||ch.:171.000 || r.3.105339748 
 It.:    3 ||Obj.:1430.308952 ||Vol.:  0.200 ||ch.:157.000 || r.3.105339748 
 It.:    4 ||Obj.:1396.973617 ||Vol.:  0.200 ||ch.:183.000 || r.3.105339748 
 It.:    5 ||Obj.:1281.680403 ||Vol.:  0.200 ||ch.:111.000 || r.3.105339748 
 It.:    6 ||Obj.:1212.658685 ||Vol.:  0.200 ||ch.:122.000 || r.3.105339748 
 It.:    7 ||Obj.:1159.963583 ||Vol.:  0.200 ||ch.: 59.000 || r.3.105339748 
 It.:    8 ||Obj.:1119.517454 ||Vol.:  0.200 ||ch.: 40.000 || r.3.105339748 
 It.:    9 ||Obj.:2393.870447 ||Vol.:  0.200 ||ch.:185.000 || r.1000.000000000 
 It.:    9 ||Obj.:2386.090668 ||Vol.:  0.200 ||ch.:184.000 || r.501.297135375 
 It.:    9 ||Obj.:2373.251563 ||Vol.:  0.200 ||ch.:183.000 || r.251.945703062 
 It.:    9 ||Obj.:2333.771728 ||Vol.:  0.200 ||ch.:183.000 || r.127.269986906 
 It.:    9 ||Obj.:2252.310086 ||Vol.:  0.200 ||ch.:183.000 || r.64.932128828 
 It.:    9 ||Obj.:2082.469406 ||Vol.:  0.200 ||ch.:181.000 || r.33.763199789 
 It.:    9 ||Obj.:1684.073938 ||Vol.:  0.200 ||ch.:177.000 || r.18.178735269 
 It.:    9 ||Obj.:1244.613020 ||Vol.:  0.200 ||ch.: 96.000 || r.10.386503010 
 It.:    9 ||Obj.:1095.864795 ||Vol.:  0.200 ||ch.: 57.000 || r.6.490386880 
 It.:   10 ||Obj.:1083.105730 ||Vol.:  0.200 ||ch.: 47.000 || r.6.490386880 
 It.:   11 ||Obj.:1074.036824 ||Vol.:  0.200 ||ch.: 30.000 || r.6.490386880 
 It.:   12 ||Obj.:1066.995939 ||Vol.:  0.200 ||ch.: 40.000 || r.6.490386880 
 It.:   13 ||Obj.:1059.083678 ||Vol.:  0.200 ||ch.: 36.000 || r.6.490386880 
 It.:   14 ||Obj.:1048.978556 ||Vol.:  0.200 ||ch.: 21.000 || r.6.490386880 
 It.:   15 ||Obj.:2388.769157 ||Vol.:  0.200 ||ch.:206.000 || r.1000.000000000 
 It.:   15 ||Obj.:2374.930220 ||Vol.:  0.200 ||ch.:205.000 || r.502.794802995 
 It.:   15 ||Obj.:2353.046149 ||Vol.:  0.200 ||ch.:203.000 || r.254.192204493 
 It.:   15 ||Obj.:2297.702337 ||Vol.:  0.200 ||ch.:199.000 || r.129.890905241 
 It.:   15 ||Obj.:2182.230177 ||Vol.:  0.200 ||ch.:184.000 || r.67.740255616 
 It.:   15 ||Obj.:1879.085169 ||Vol.:  0.200 ||ch.:158.000 || r.36.664930803 
 It.:   15 ||Obj.:1146.946114 ||Vol.:  0.200 ||ch.: 79.000 || r.21.127268397 
 It.:   15 ||Obj.:1056.711587 ||Vol.:  0.200 ||ch.: 48.000 || r.13.358437193 
 It.:   15 ||Obj.:1039.531595 ||Vol.:  0.200 ||ch.: 35.000 || r.9.474021592 
 It.:   16 ||Obj.:1031.365729 ||Vol.:  0.200 ||ch.: 23.000 || r.9.474021592 
 It.:   17 ||Obj.:1024.220331 ||Vol.:  0.200 ||ch.: 22.000 || r.9.474021592 
 It.:   18 ||Obj.:1017.817753 ||Vol.:  0.200 ||ch.: 22.000 || r.9.474021592 
 It.:   19 ||Obj.:1012.627233 ||Vol.:  0.200 ||ch.: 20.000 || r.9.474021592 
 It.:   20 ||Obj.:1008.380100 ||Vol.:  0.200 ||ch.: 17.000 || r.9.474021592 
 It.:   21 ||Obj.:1004.768178 ||Vol.:  0.200 ||ch.: 15.000 || r.9.474021592 
 It.:   22 ||Obj.:1002.355467 ||Vol.:  0.200 ||ch.: 12.000 || r.9.474021592 
 It.:   23 ||Obj.:1000.059327 ||Vol.:  0.200 ||ch.: 11.000 || r.9.474021592 
 It.:   24 ||Obj.:999.088321 ||Vol.:  0.200 ||ch.: 12.000 || r.9.474021592 
 It.:   25 ||Obj.:1965.713574 ||Vol.:  0.200 ||ch.:187.000 || r.1000.000000000 
 It.:   25 ||Obj.:1943.264277 ||Vol.:  0.200 ||ch.:180.000 || r.504.306409938 
 It.:   25 ||Obj.:1886.523115 ||Vol.:  0.200 ||ch.:173.000 || r.256.459614906 
 It.:   25 ||Obj.:1799.468649 ||Vol.:  0.200 ||ch.:165.000 || r.132.536217391 
 It.:   25 ||Obj.:1600.000387 ||Vol.:  0.200 ||ch.:143.000 || r.70.574518633 
 It.:   25 ||Obj.:1141.474774 ||Vol.:  0.200 ||ch.: 73.000 || r.39.593669254 
 It.:   25 ||Obj.:1009.902182 ||Vol.:  0.200 ||ch.: 31.000 || r.24.103244565 
 It.:   25 ||Obj.:1001.483680 ||Vol.:  0.200 ||ch.: 18.000 || r.16.358032220 
 It.:   25 ||Obj.:999.055885 ||Vol.:  0.200 ||ch.: 13.000 || r.12.485426047 
