Displaying
bc:left_down_bdc_right_down_qin | objectfunc:left_up | Vforce:0.00000 | delta_x:0.00500 | volfrac:0.18000
Emin:66.66667 | E0:13333.33333 | gamma:0.000000 | tau:0.00500 | lambda:1.00000 | w:4.00000 | gamma1:3.00000 | gamma2:1.50000
 It.:   56 ||Obj.: -8.623507 ||Vol.:  0.180 ||ch.: 21.000 ||r.:112921324797.369 
 It.:   57 ||Obj.: -8.623507 ||Vol.:  0.180 ||ch.: 21.000 ||r.:56460662422.156 
 It.:   58 ||Obj.: -8.623507 ||Vol.:  0.180 ||ch.: 21.000 ||r.:28230331234.550 
 It.:   59 ||Obj.: -8.623507 ||Vol.:  0.180 ||ch.: 21.000 ||r.:14115165640.747 
 It.:   60 ||Obj.: -8.623507 ||Vol.:  0.180 ||ch.: 21.000 ||r.:7057582843.845 
 It.:   61 ||Obj.: -8.623507 ||Vol.:  0.180 ||ch.: 21.000 ||r.:3528791445.395 
 It.:   62 ||Obj.: -8.623507 ||Vol.:  0.180 ||ch.: 21.000 ||r.:1764395746.169 
 It.:   63 ||Obj.: -8.623507 ||Vol.:  0.180 ||ch.: 21.000 ||r.:882197896.556 
 It.:   64 ||Obj.: -8.623507 ||Vol.:  0.180 ||ch.: 21.000 ||r.:441098971.750 
 It.:   65 ||Obj.: -8.623507 ||Vol.:  0.180 ||ch.: 21.000 ||r.:220549509.347 
 It.:   66 ||Obj.: -8.623507 ||Vol.:  0.180 ||ch.: 21.000 ||r.:110274778.145 
 It.:   67 ||Obj.: -8.623507 ||Vol.:  0.180 ||ch.: 21.000 ||r.:55137412.545 
 It.:   68 ||Obj.: -8.623507 ||Vol.:  0.180 ||ch.: 21.000 ||r.:27568729.744 
 It.:   69 ||Obj.: -8.623507 ||Vol.:  0.180 ||ch.: 21.000 ||r.:13784388.344 
 It.:   70 ||Obj.: -8.623507 ||Vol.:  0.180 ||ch.: 21.000 ||r.:6892217.644 
 It.:   71 ||Obj.: -8.623507 ||Vol.:  0.180 ||ch.: 21.000 ||r.:3446132.294 
 It.:   72 ||Obj.: -8.623507 ||Vol.:  0.180 ||ch.: 21.000 ||r.:1723089.619 
 It.:   73 ||Obj.: -8.623423 ||Vol.:  0.180 ||ch.: 21.000 ||r.:861568.281 
 It.:   74 ||Obj.: -8.623423 ||Vol.:  0.180 ||ch.: 21.000 ||r.:430807.613 
 It.:   75 ||Obj.: -8.623161 ||Vol.:  0.180 ||ch.: 20.000 ||r.:215427.278 
 It.:   76 ||Obj.: -8.622728 ||Vol.:  0.180 ||ch.: 18.000 ||r.:107737.111 
 It.:   77 ||Obj.: -8.621526 ||Vol.:  0.180 ||ch.: 13.000 ||r.:53892.027 
 It.:   78 ||Obj.: -8.618653 ||Vol.:  0.180 ||ch.:  9.000 ||r.:26969.486 
 It.:   79 ||Obj.: -8.615729 ||Vol.:  0.180 ||ch.:  3.000 ||r.:13508.215 
 It.:   80 ||Obj.: -8.615491 ||Vol.:  0.180 ||ch.:  3.000 ||r.:6777.579 
 It.:   81 ||Obj.: -8.614769 ||Vol.:  0.180 ||ch.:  3.000 ||r.:3412.261 
 It.:   82 ||Obj.: -8.614492 ||Vol.:  0.180 ||ch.:  2.000 ||r.:1729.603 
 It.:   83 ||Obj.: -8.613586 ||Vol.:  0.180 ||ch.:  2.000 ||r.:888.273 
 It.:   84 ||Obj.: -8.613586 ||Vol.:  0.180 ||ch.:  2.000 ||r.:467.608 
 It.:   85 ||Obj.: -8.613586 ||Vol.:  0.180 ||ch.:  2.000 ||r.:257.276 
 sharp interface energy:   -8.552036
--------------------------------------
--------------------------------------
