Displaying
Kapa:[10.000, 1.000]|q:[1.000, 100.000]|lambda:0.100000 | r:1000.000000 |gamma:0.000002
mesh:0.005000 | boundary condition:left_Dirichlet | continuation:0
 It.:   10 ||Obj.:1105.570819 ||Vol.:  0.200 ||ch.: 56.000 || r.2.889806904 
 It.:   11 ||Obj.:1072.303095 ||Vol.:  0.200 ||ch.: 30.000 || r.2.889806904 
 It.:   12 ||Obj.:1053.532503 ||Vol.:  0.200 ||ch.: 26.000 || r.2.889806904 
 It.:   13 ||Obj.:2138.031509 ||Vol.:  0.200 ||ch.:137.000 || r.1000.000000000 
 It.:   13 ||Obj.:2132.375421 ||Vol.:  0.200 ||ch.:137.000 || r.501.021069211 
 It.:   13 ||Obj.:2118.825031 ||Vol.:  0.200 ||ch.:136.000 || r.251.531603816 
 It.:   13 ||Obj.:2088.635828 ||Vol.:  0.200 ||ch.:136.000 || r.126.786871118 
 It.:   13 ||Obj.:2035.732103 ||Vol.:  0.200 ||ch.:136.000 || r.64.414504770 
 It.:   13 ||Obj.:1901.060053 ||Vol.:  0.200 ||ch.:133.000 || r.33.228321595 
 It.:   13 ||Obj.:1676.581515 ||Vol.:  0.200 ||ch.:115.000 || r.17.635230008 
 It.:   13 ||Obj.:1237.850253 ||Vol.:  0.200 ||ch.: 72.000 || r.9.838684215 
 It.:   13 ||Obj.:1076.631224 ||Vol.:  0.200 ||ch.: 58.000 || r.5.940411318 
 It.:   13 ||Obj.:1038.203513 ||Vol.:  0.200 ||ch.: 38.000 || r.3.991274869 
 It.:   14 ||Obj.:1022.852229 ||Vol.:  0.200 ||ch.: 27.000 || r.3.991274869 
 It.:   15 ||Obj.:1012.481779 ||Vol.:  0.200 ||ch.: 15.000 || r.3.991274869 
 It.:   16 ||Obj.:1007.690712 ||Vol.:  0.200 ||ch.: 10.000 || r.3.991274869 
 It.:   17 ||Obj.:1825.619899 ||Vol.:  0.200 ||ch.:134.000 || r.1000.000000000 
 It.:   17 ||Obj.:1813.636309 ||Vol.:  0.200 ||ch.:134.000 || r.501.650008004 
 It.:   17 ||Obj.:1793.711315 ||Vol.:  0.200 ||ch.:130.000 || r.252.475012006 
 It.:   17 ||Obj.:1753.174199 ||Vol.:  0.200 ||ch.:128.000 || r.127.887514007 
 It.:   17 ||Obj.:1654.549109 ||Vol.:  0.200 ||ch.:121.000 || r.65.593765007 
 It.:   17 ||Obj.:1473.330677 ||Vol.:  0.200 ||ch.:111.000 || r.34.446890507 
 It.:   17 ||Obj.:1271.638686 ||Vol.:  0.200 ||ch.: 88.000 || r.18.873453257 
 It.:   17 ||Obj.:1072.103488 ||Vol.:  0.200 ||ch.: 41.000 || r.11.086734632 
 It.:   17 ||Obj.:1019.143232 ||Vol.:  0.200 ||ch.: 20.000 || r.7.193375320 
 It.:   17 ||Obj.:1005.474430 ||Vol.:  0.200 ||ch.: 14.000 || r.5.246695664 
 It.:   18 ||Obj.:1006.053743 ||Vol.:  0.200 ||ch.: 17.000 || r.5.246695664 
 It.:   18 ||Obj.:1002.676039 ||Vol.:  0.200 ||ch.: 13.000 || r.3.961831787 
 It.:   19 ||Obj.:1869.910724 ||Vol.:  0.200 ||ch.:125.000 || r.1000.000000000 
 It.:   19 ||Obj.:1854.582450 ||Vol.:  0.200 ||ch.:125.000 || r.501.779688414 
 It.:   19 ||Obj.:1835.017282 ||Vol.:  0.200 ||ch.:125.000 || r.252.669532621 
 It.:   19 ||Obj.:1789.941989 ||Vol.:  0.200 ||ch.:123.000 || r.128.114454725 
 It.:   19 ||Obj.:1708.259461 ||Vol.:  0.200 ||ch.:120.000 || r.65.836915776 
 It.:   19 ||Obj.:1419.855696 ||Vol.:  0.200 ||ch.:104.000 || r.34.698146302 
 It.:   19 ||Obj.:1199.288436 ||Vol.:  0.200 ||ch.: 88.000 || r.19.128761565 
 It.:   19 ||Obj.:1045.732733 ||Vol.:  0.200 ||ch.: 31.000 || r.11.344069197 
 It.:   19 ||Obj.:1014.188620 ||Vol.:  0.200 ||ch.: 20.000 || r.7.451723012 
 It.:   19 ||Obj.:1003.183554 ||Vol.:  0.200 ||ch.: 15.000 || r.5.505549920 
 It.:   19 ||Obj.:1000.714671 ||Vol.:  0.200 ||ch.: 11.000 || r.4.532463374 
 It.:   20 ||Obj.:999.471891 ||Vol.:  0.200 ||ch.: 11.000 || r.4.532463374 
 It.:   21 ||Obj.:1942.265839 ||Vol.:  0.200 ||ch.:126.000 || r.1000.000000000 
 It.:   21 ||Obj.:1927.039103 ||Vol.:  0.200 ||ch.:126.000 || r.501.881117967 
 It.:   21 ||Obj.:1909.784153 ||Vol.:  0.200 ||ch.:126.000 || r.252.821676951 
 It.:   21 ||Obj.:1870.211587 ||Vol.:  0.200 ||ch.:125.000 || r.128.291956443 
 It.:   21 ||Obj.:1749.110830 ||Vol.:  0.200 ||ch.:124.000 || r.66.027096189 
 It.:   21 ||Obj.:1474.311517 ||Vol.:  0.200 ||ch.:111.000 || r.34.894666062 
 It.:   21 ||Obj.:1210.611876 ||Vol.:  0.200 ||ch.: 86.000 || r.19.328450998 
 It.:   21 ||Obj.:1030.093464 ||Vol.:  0.200 ||ch.: 32.000 || r.11.545343467 
 It.:   21 ||Obj.:1005.073285 ||Vol.:  0.200 ||ch.: 19.000 || r.7.653789701 
 It.:   21 ||Obj.:999.186050 ||Vol.:  0.200 ||ch.: 12.000 || r.5.708012818 
 It.:   22 ||Obj.:998.751961 ||Vol.:  0.200 ||ch.: 17.000 || r.5.708012818 
 It.:   23 ||Obj.:997.910890 ||Vol.:  0.200 ||ch.: 15.000 || r.5.708012818 
 It.:   24 ||Obj.:998.793653 ||Vol.:  0.200 ||ch.: 13.000 || r.5.708012818 
 It.:   24 ||Obj.:995.125624 ||Vol.:  0.200 ||ch.:  9.000 || r.4.369090914 
 It.:   25 ||Obj.:1891.415674 ||Vol.:  0.200 ||ch.:126.000 || r.1000.000000000 
 It.:   25 ||Obj.:1878.818899 ||Vol.:  0.200 ||ch.:125.000 || r.501.952084935 
 It.:   25 ||Obj.:1856.403939 ||Vol.:  0.200 ||ch.:123.000 || r.252.928127402 
 It.:   25 ||Obj.:1802.756480 ||Vol.:  0.200 ||ch.:122.000 || r.128.416148636 
 It.:   25 ||Obj.:1656.409726 ||Vol.:  0.200 ||ch.:117.000 || r.66.160159253 
 It.:   25 ||Obj.:1434.741490 ||Vol.:  0.200 ||ch.:105.000 || r.35.032164561 
 It.:   25 ||Obj.:1162.904226 ||Vol.:  0.200 ||ch.: 75.000 || r.19.468167215 
 It.:   25 ||Obj.:1019.143863 ||Vol.:  0.200 ||ch.: 26.000 || r.11.686168543 
 It.:   25 ||Obj.:1002.523515 ||Vol.:  0.200 ||ch.: 21.000 || r.7.795169206 
 It.:   25 ||Obj.:994.426490 ||Vol.:  0.200 ||ch.: 15.000 || r.5.849669538 
 It.:   26 ||Obj.:993.279490 ||Vol.:  0.200 ||ch.: 13.000 || r.5.849669538 
 It.:   27 ||Obj.:993.804120 ||Vol.:  0.200 ||ch.: 15.000 || r.5.849669538 
 It.:   27 ||Obj.:991.322750 ||Vol.:  0.200 ||ch.: 10.000 || r.4.394358919 
 It.:   28 ||Obj.:1888.285136 ||Vol.:  0.200 ||ch.:132.000 || r.1000.000000000 
 It.:   28 ||Obj.:1881.064509 ||Vol.:  0.200 ||ch.:132.000 || r.501.889525829 
