Displaying
bc:left_down_bdc_right_down_qin | objectfunc:left_up | Vforce:1.00000 | delta_x:0.00500 | volfrac:0.20000
Emin:66.66667 | E0:13333.33333 | gamma:0.000000 | tau:0.00500 | lambda:1.00000 | w:4.00000 | gamma1:3.00000 | gamma2:1.50000
 It.:   58 ||Obj.: -8.314854 ||Vol.:  0.193 ||ch.:  1.000 ||r.:100000.000 
 It.:   59 ||Obj.: -8.315953 ||Vol.:  0.193 ||ch.:  1.000 ||r.:100000.000 
 It.:   60 ||Obj.: -8.317054 ||Vol.:  0.193 ||ch.:  1.000 ||r.:100000.000 
 It.:   61 ||Obj.: -8.318161 ||Vol.:  0.193 ||ch.:  1.000 ||r.:100000.000 
 It.:   62 ||Obj.: -8.320377 ||Vol.:  0.193 ||ch.:  1.000 ||r.:100000.000 
 It.:   63 ||Obj.: -8.322605 ||Vol.:  0.193 ||ch.:  1.000 ||r.:100000.000 
 It.:   64 ||Obj.: -8.327275 ||Vol.:  0.193 ||ch.:  1.000 ||r.:100000.000 
 It.:   65 ||Obj.: -8.327900 ||Vol.:  0.192 ||ch.:  1.000 ||r.:100000.000 
 It.:   66 ||Obj.: -8.328658 ||Vol.:  0.192 ||ch.:  1.000 ||r.:100000.000 
 It.:   67 ||Obj.: -8.329080 ||Vol.:  0.192 ||ch.:  1.000 ||r.:100000.000 
 It.:   68 ||Obj.: -8.329499 ||Vol.:  0.192 ||ch.:  1.000 ||r.:100000.000 
 It.:   69 ||Obj.: -8.329915 ||Vol.:  0.192 ||ch.:  1.000 ||r.:100000.000 
 It.:   70 ||Obj.: -8.330329 ||Vol.:  0.192 ||ch.:  1.000 ||r.:100000.000 
 It.:   71 ||Obj.: -8.330742 ||Vol.:  0.192 ||ch.:  1.000 ||r.:100000.000 
 It.:   72 ||Obj.: -8.331154 ||Vol.:  0.192 ||ch.:  1.000 ||r.:100000.000 
 It.:   73 ||Obj.: -8.331567 ||Vol.:  0.192 ||ch.:  1.000 ||r.:100000.000 
 It.:   74 ||Obj.: -8.332313 ||Vol.:  0.192 ||ch.:  1.000 ||r.:100000.000 
 It.:   75 ||Obj.: -8.332733 ||Vol.:  0.192 ||ch.:  1.000 ||r.:100000.000 
 It.:   76 ||Obj.: -8.333157 ||Vol.:  0.192 ||ch.:  1.000 ||r.:100000.000 
 It.:   77 ||Obj.: -8.333586 ||Vol.:  0.192 ||ch.:  1.000 ||r.:100000.000 
 It.:   78 ||Obj.: -8.334024 ||Vol.:  0.192 ||ch.:  1.000 ||r.:100000.000 
 It.:   79 ||Obj.: -8.334475 ||Vol.:  0.192 ||ch.:  1.000 ||r.:100000.000 
 It.:   80 ||Obj.: -8.334947 ||Vol.:  0.192 ||ch.:  1.000 ||r.:100000.000 
 It.:   81 ||Obj.: -8.335798 ||Vol.:  0.191 ||ch.:  1.000 ||r.:100000.000 
 It.:   82 ||Obj.: -8.336705 ||Vol.:  0.191 ||ch.:  1.000 ||r.:100000.000 
 It.:   83 ||Obj.: -8.337381 ||Vol.:  0.191 ||ch.:  1.000 ||r.:100000.000 
 It.:   84 ||Obj.: -8.340429 ||Vol.:  0.191 ||ch.:  1.000 ||r.:100000.000 
 It.:   85 ||Obj.: -8.340782 ||Vol.:  0.191 ||ch.:  1.000 ||r.:100000.000 
 It.:   86 ||Obj.: -8.341486 ||Vol.:  0.191 ||ch.:  1.000 ||r.:100000.000 
 It.:   87 ||Obj.: -8.341974 ||Vol.:  0.191 ||ch.:  1.000 ||r.:100000.000 
 It.:   88 ||Obj.: -8.343371 ||Vol.:  0.191 ||ch.:  2.000 ||r.:100000.000 
 It.:   89 ||Obj.: -8.345280 ||Vol.:  0.191 ||ch.:  1.000 ||r.:100000.000 
 It.:   90 ||Obj.: -8.346399 ||Vol.:  0.191 ||ch.:  1.000 ||r.:100000.000 
 It.:   91 ||Obj.: -8.351537 ||Vol.:  0.191 ||ch.:  1.000 ||r.:100000.000 
 It.:   92 ||Obj.: -8.362950 ||Vol.:  0.191 ||ch.:  2.000 ||r.:100000.000 
 It.:   93 ||Obj.: -8.370977 ||Vol.:  0.191 ||ch.:  3.000 ||r.:100000.000 
 It.:   94 ||Obj.: -8.375540 ||Vol.:  0.191 ||ch.:  1.000 ||r.:100000.000 
 It.:   95 ||Obj.: -8.377839 ||Vol.:  0.191 ||ch.:  2.000 ||r.:100000.000 
 It.:   96 ||Obj.: -8.380127 ||Vol.:  0.191 ||ch.:  1.000 ||r.:100000.000 
 It.:   97 ||Obj.: -8.381909 ||Vol.:  0.192 ||ch.:  1.000 ||r.:100000.000 
 It.:   98 ||Obj.: -8.382957 ||Vol.:  0.192 ||ch.:  1.000 ||r.:100000.000 
 It.:   99 ||Obj.: -8.383563 ||Vol.:  0.192 ||ch.:  1.000 ||r.:100000.000 
 It.:  100 ||Obj.: -8.384369 ||Vol.:  0.192 ||ch.:  1.000 ||r.:100000.000 
 It.:  101 ||Obj.: -8.384806 ||Vol.:  0.192 ||ch.:  1.000 ||r.:100000.000 
 sharp interface energy:   -8.179560
--------------------------------------
--------------------------------------
